Station,Latitude,Longitude,Correlation,RMSE_mm,Bias_mm,MAE_mm,GPS_Amplitude_mm,GRACE_Amplitude_mm,Amplitude_Ratio
P056,36.027,-119.063,-0.447924281859958,3.34775807810274,0.0430961735489926,2.66543315143827,6.62280384204713,1.01140689204825e-06,1.52715815864421e-07
P140,38.829,-120.693,-0.61272660461158,3.89043108345127,2.89348588280804,3.20804836509857,5.12215826098206,5.21675215612444e-06,1.01846758540495e-06
P345,40.271,-122.271,-0.517433896381126,3.69579697238623,2.61253588817422,2.94723463915491,5.74494952081846,7.35788125393044e-06,1.2807564674445e-06
